 HR,Name,ID,#,Ltr,Dbl,Con#,Con,RA,RAm,RAs,,Dec,Dm,Ds,Vmag,B-V,U-B,Sp Type,pmRA,pmD,Distance,RV,Sid Lat,Sid Lon,Zod lon,Zod
8676,,70 Aqr,70,,,6,Aqr,22,48,30.2,S,10,33,20,6.19,0.28,,A9III-IV,0.035,0.007,,-6,-2.5769,161.947,12,Aqr
8679,,Tau2 Aqr,71,Tau2,,6,Aqr,22,49,35.5,S,13,35,33,4.01,1.57,1.95,M0III,-0.012,-0.038,155.2,1,-5.4906,161.0367,12,Aqr
8698,,Lam Aqr,73,Lam,,6,Aqr,22,52,36.9,S,7,34,47,3.74,1.64,1.74,M2.5IIIa,0.011,0.037,191.8,-9,-0.2163,164.0171,15,Aqr
8704,,74 Aqr,74,,,6,Aqr,22,53,28.7,S,11,37,0,5.8,-0.08,-0.31,B9III,0.025,0.001,,-7,-4.0327,162.6732,13,Aqr
8709,Skat,Del Aqr,76,Del,,6,Aqr,22,54,39,S,15,49,15,3.27,0.05,0.08,A3V,-0.04,-0.025,85.8,18,-8.0282,161.3143,12,Aqr
8710,,78 Aqr,78,,,6,Aqr,22,54,34.1,S,7,12,17,6.19,1.28,1.41,K3III,-0.012,-0.038,,9,-0.058,164.6078,15,Aqr
8711,,77 Aqr,77,,,6,Aqr,22,54,45.5,S,16,16,19,5.56,1.14,1.09,K2.5IIIb,-0.222,-0.09,171.6,-36,-8.4549,161.1627,12,Aqr
8757,,81 Aqr,81,,,6,Aqr,23,1,23.6,S,7,3,40,6.21,1.41,1.77,K5III,-0.015,-0.011,,-2,-0.5888,166.2266,17,Aqr
8763,,82 Aqr,82,,,6,Aqr,23,2,32.6,S,6,34,27,6.15,1.58,1.9,M2III,-0.004,-0.037,,-8,-0.2517,166.6776,17,Aqr
8782,,83 Aqr,83,,,6,Aqr,23,5,9.8,S,7,41,37,5.43,0.3,0.07,F2IV+F0V,0.129,0.011,155.2,-13,-1.5414,166.8452,17,Aqr
8789,,86 Aqr,86,,,6,Aqr,23,6,40.9,S,23,44,35,4.47,0.9,0.58,G9III,0.066,-0.003,116.4,15,-16.4516,160.7781,11,Aqr
8812,,88 Aqr,88,,,6,Aqr,23,9,26.8,S,21,10,21,3.66,1.22,1.24,K1III,0.055,0.031,326,21,-14.3603,162.4587,13,Aqr
8817,,89 Aqr,89,,,6,Aqr,23,9,54.8,S,22,27,27,4.69,0.65,0.39,G2IV+A2V,0.026,-0.009,81.5,-5,-15.5819,162.0262,13,Aqr
8834,,Phi Aqr,90,Phi,,6,Aqr,23,14,19.4,S,6,2,56,4.22,1.56,1.9,M1.5III,0.042,-0.196,326,0,-0.9297,169.5797,20,Aqr
8841,,Psi1 Aqr,91,Psi1,A,6,Aqr,23,15,53.5,S,9,5,16,4.21,1.11,0.99,K0III,0.372,-0.016,66.5,-26,-3.8834,168.7496,19,Aqr
8850,,Chi Aqr,92,Chi,,6,Aqr,23,16,50.9,S,7,43,36,5.06,1.6,1.6,M3III,-0.016,-0.015,362.2,-15,-2.7255,169.5013,20,Aqr
8858,,Psi2 Aqr,93,Psi2,,6,Aqr,23,17,54.2,S,9,10,57,4.39,-0.15,-0.56,B5V,0.021,-0.012,,-6,-4.17,169.1704,20,Aqr
8865,,Psi3 Aqr,95,Psi3,,6,Aqr,23,18,57.7,S,9,36,39,4.98,-0.02,-0.02,A0V,0.047,-0.002,271.7,-10,-4.6692,169.2426,20,Aqr
8866,,94 Aqr,94,,A,6,Aqr,23,19,6.7,S,13,27,32,5.08,0.8,0.41,G5IV,0.298,-0.101,81.5,10,-8.2214,167.7499,18,Aqr
8868,,96 Aqr,96,,,6,Aqr,23,19,24,S,5,7,28,5.55,0.39,0,F3IV-V,0.202,-0.02,,-9,-0.5848,171.1038,22,Aqr
8890,,97 Aqr,97,,,6,Aqr,23,22,39.2,S,15,2,21,5.2,0.2,0.1,A3Vp,0.112,0.019,148.2,-12,-10.0216,167.912,18,Aqr
8892,,98 Aqr,98,,,6,Aqr,23,22,58.2,S,20,6,2,3.97,1.1,0.95,K0III,-0.12,-0.096,90.6,-7,-14.6878,165.8976,16,Aqr
8906,,99 Aqr,99,,,6,Aqr,23,26,2.8,S,20,38,31,4.39,1.47,1.81,K5III,-0.052,-0.058,465.7,16,-15.4836,166.3516,17,Aqr
8932,,100 Aqr,100,,,6,Aqr,23,31,42.1,S,21,22,10,6.29,0.33,0.16,A9III,0.009,0.005,,-8,-16.7031,167.2939,18,Aqr
8939,,101 Aqr,101,,,6,Aqr,23,33,16.6,S,20,54,52,4.71,0.02,0,A1n,-0.007,0.013,,15,-16.4439,167.8389,18,Aqr
8958,,HR 8958,,,,6,Aqr,23,37,39.6,S,13,3,37,5.65,1.03,0.83,G9III,0.037,0.024,,-13,-9.7038,172.102,23,Aqr
8968,,Ome1 Aqr,102,Ome1,,6,Aqr,23,39,47.1,S,14,13,18,5,0.24,,F0IV,0.057,-0.038,203.8,-2,-10.9806,172.107,23,Aqr
8980,,103 Aqr,103,,,6,Aqr,23,41,34.5,S,18,1,38,5.34,1.57,1.93,K5III,-0.039,-0.071,,25,-14.6372,170.9222,21,Aqr
8982,,104 Aqr,104,,,6,Aqr,23,41,45.8,S,17,48,59,4.82,0.82,0.49,G0Ib-II,0.015,0.004,,3,-14.4637,171.0537,22,Aqr
8987,,HR 8987,,,,6,Aqr,23,42,27.9,S,15,26,52,5.28,1.37,1.49,K4III,0.025,-0.008,217.3,7,-12.3713,172.2048,23,Aqr
8988,,Ome2 Aqr,105,Ome2,,6,Aqr,23,42,43.3,S,14,32,42,4.49,-0.04,-0.12,B9.5V,0.101,-0.066,79.5,3,-11.5718,172.637,23,Aqr
8998,,106 Aqr,106,,,6,Aqr,23,44,12.1,S,18,16,37,5.24,-0.08,-0.27,B9Vn,0.029,-0.003,,14,-15.1282,171.4049,22,Aqr
9002,,107 Aqr,107,,A,6,Aqr,23,46,0.9,S,18,40,41,5.29,0.28,0.14,F2III+F2V,0.134,0.03,271.7,-2,-15.6757,171.64,22,Aqr
9031,,108 Aqr,108,,,6,Aqr,23,51,21.3,S,18,54,32,5.18,-0.14,-0.42,B9p,0.021,0,141.7,13,-16.4231,172.7383,23,Aqr
6229,,Eta Ara,,Eta,,39,Ara,16,49,47.1,S,59,2,29,3.76,1.57,1.94,K5III,0.038,-0.028,130.4,9,-36.2408,81.3451,22,Sco
6285,,Zet Ara,,Zet,,39,Ara,16,58,37.2,S,55,59,25,3.13,1.6,1.97,K3III,-0.019,-0.036,74.1,-6,-33.0628,82.2649,23,Sco
6295,,Eps1 Ara,,Eps1,,39,Ara,16,59,35.1,S,53,9,38,4.06,1.45,1.71,K4IIIab,0.004,0.017,652,23,-30.237,82.0196,23,Sco
6314,,Eps2 Ara,,Eps2,,39,Ara,17,3,8.8,S,53,14,13,5.29,0.48,,F6V,-0.003,-0.144,83.6,7,-30.254,82.6433,23,Sco
6416,,HR 6416,,,,39,Ara,17,19,3.2,S,46,38,2,5.48,0.8,0.38,G8-K0V,0.979,0.224,24.9,23,-23.4509,84.7962,25,Sco
6451,,Iot Ara,,Iot,,39,Ara,17,23,16.1,S,47,28,6,5.25,-0.11,-0.82,B2IIIne,-0.01,-0.024,,-19,-24.2334,85.646,26,Sco
6461,,Bet Ara,,Bet,,39,Ara,17,25,18,S,55,31,48,2.85,1.46,1.56,K3Ib-IIa,-0.008,-0.025,95.9,0,-32.2554,86.6468,27,Sco
6462,,Gam Ara,,Gam,,39,Ara,17,25,23.6,S,56,22,39,3.34,-0.13,-0.96,B1Ib,-0.002,-0.012,,-3,-33.1,86.734,27,Sco
6468,,Kap Ara,,Kap,,39,Ara,17,26,0,S,50,38,1,5.23,1.06,,G8III,0.007,0.001,108.7,17,-27.3631,86.3808,27,Sco
6477,,HR 6477,,,,39,Ara,17,26,51.5,S,45,50,37,5.29,-0.07,-0.34,B7V+B9.5V,-0.04,-0.04,362.2,-9,-22.5737,86.1992,27,Sco
6500,,Del Ara,,Del,,39,Ara,17,31,5.9,S,60,41,2,3.62,-0.1,-0.31,B8Vn,-0.059,-0.096,,10,-37.3498,87.9976,28,Sco
6510,,Alp Ara,,Alp,,39,Ara,17,31,50.5,S,49,52,34,2.95,-0.17,-0.69,B2Vne,-0.031,-0.07,465.7,0,-26.5536,87.3752,28,Sco
6537,,Sig Ara,1,Sig,,39,Ara,17,35,39.6,S,46,30,20,4.59,-0.03,-0.09,A0V,-0.028,-0.035,,4,-23.157,87.8893,28,Sco
6549,,Pi Ara,,Pi,,39,Ara,17,38,5.6,S,54,30,1,5.25,0.2,0.08,A5IV-V,-0.039,-0.15,57.2,-3,-31.1276,88.7286,29,Sco
6569,,Lam Ara,,Lam,,39,Ara,17,40,23.6,S,49,24,56,4.77,0.4,-0.04,F3IV,0.078,-0.176,74.1,4,-26.0332,88.894,29,Sco
6585,Cervantes,Mu Ara,,Mu,,39,Ara,17,44,8.7,S,51,50,3,5.15,0.7,0.24,G3IV-V,-0.014,-0.194,42.3,-9,-28.431,89.6567,30,Sco
6743,,The Ara,,The,,39,Ara,18,6,37.9,S,50,5,30,3.66,-0.08,-0.85,B2Ib,-0.01,-0.014,,3,-26.6588,93.631,4,Sgr
522,,4 Ari,4,,,8,Ari,1,48,10.9,N,16,57,20,5.84,-0.03,-0.12,B9.5V,0.053,-0.036,,10,5.2017,213.5965,4,Ari
530,,1 Ari,1,,,8,Ari,1,50,8.5,N,22,16,31,5.86,0.74,0.5,K1III+A6V,-0.017,-0.008,191.8,3,10.0095,215.9489,6,Ari
545,,Gam1 Ari,5,Gam1,B,8,Ari,1,53,31.8,N,19,17,45,4.83,,,B9V,0.078,-0.112,125.4,4,6.9378,215.6262,6,Ari
546,Mesarthim,Gam2 Ari,5,Gam2,A,8,Ari,1,53,31.8,N,19,17,37,4.75,-0.04,-0.13,A1p,0.079,-0.104,125.4,-1,6.9358,215.6254,6,Ari
